,lens1,lens2,lens1_n_cubes,lens2_n_cubes,lens1_perc_overlap,lens2_perc_overlap,eps,n_vertices,n_connected_components
305,neighbour_1,IL-6,1,3,0.3,0.3,0.9000000000000001,4,2
306,neighbour_1,IL-6,1,3,0.3,0.3,1.1000000000000003,4,2
307,neighbour_1,IL-6,1,3,0.3,0.3,1.3000000000000003,3,1
308,neighbour_1,IL-6,1,3,0.3,0.3,1.5000000000000004,3,1
309,neighbour_1,IL-6,1,3,0.3,0.3,1.7000000000000004,3,1
310,neighbour_1,IL-6,1,3,0.3,0.3,1.9000000000000004,3,1
311,neighbour_1,IL-6,1,3,0.3,0.5,0.30000000000000004,7,3
312,neighbour_1,IL-6,1,3,0.3,0.5,0.5000000000000001,5,1
313,neighbour_1,IL-6,1,3,0.3,0.5,0.7000000000000001,5,1
314,neighbour_1,IL-6,1,3,0.3,0.5,0.9000000000000001,4,1
315,neighbour_1,IL-6,1,3,0.3,0.5,1.1000000000000003,3,1
316,neighbour_1,IL-6,1,3,0.3,0.5,1.3000000000000003,3,1
317,neighbour_1,IL-6,1,3,0.3,0.5,1.5000000000000004,3,1
318,neighbour_1,IL-6,1,3,0.3,0.5,1.7000000000000004,3,1
319,neighbour_1,IL-6,1,3,0.3,0.5,1.9000000000000004,3,1
320,neighbour_1,IL-6,1,3,0.3,0.7,0.1,16,6
321,neighbour_1,IL-6,1,3,0.3,0.7,0.30000000000000004,9,3
322,neighbour_1,IL-6,1,3,0.3,0.7,0.5000000000000001,4,1
323,neighbour_1,IL-6,1,3,0.3,0.7,0.7000000000000001,4,1
324,neighbour_1,IL-6,1,3,0.3,0.7,0.9000000000000001,3,1
325,neighbour_1,IL-6,1,3,0.3,0.7,1.1000000000000003,3,1
326,neighbour_1,IL-6,1,3,0.3,0.7,1.3000000000000003,3,1
327,neighbour_1,IL-6,1,3,0.3,0.7,1.5000000000000004,3,1
328,neighbour_1,IL-6,1,3,0.3,0.7,1.7000000000000004,3,1
329,neighbour_1,IL-6,1,3,0.3,0.7,1.9000000000000004,3,1
330,neighbour_1,IL-6,1,3,0.3,0.9,0.1,18,6
331,neighbour_1,IL-6,1,3,0.3,0.9,0.30000000000000004,9,3
332,neighbour_1,IL-6,1,3,0.3,0.9,0.5000000000000001,3,1
333,neighbour_1,IL-6,1,3,0.3,0.9,0.7000000000000001,3,1
334,neighbour_1,IL-6,1,3,0.3,0.9,0.9000000000000001,3,1
335,neighbour_1,IL-6,1,3,0.3,0.9,1.1000000000000003,3,1
336,neighbour_1,IL-6,1,3,0.3,0.9,1.3000000000000003,3,1
337,neighbour_1,IL-6,1,3,0.3,0.9,1.5000000000000004,3,1
338,neighbour_1,IL-6,1,3,0.3,0.9,1.7000000000000004,3,1
339,neighbour_1,IL-6,1,3,0.3,0.9,1.9000000000000004,3,1
340,neighbour_1,IL-6,1,3,0.5,0.1,0.5000000000000001,5,4
341,neighbour_1,IL-6,1,3,0.5,0.1,0.7000000000000001,5,4
342,neighbour_1,IL-6,1,3,0.5,0.1,0.9000000000000001,4,3
343,neighbour_1,IL-6,1,3,0.5,0.1,1.1000000000000003,4,3
344,neighbour_1,IL-6,1,3,0.5,0.1,1.3000000000000003,3,2
345,neighbour_1,IL-6,1,3,0.5,0.1,1.5000000000000004,3,2
346,neighbour_1,IL-6,1,3,0.5,0.1,1.7000000000000004,3,2
347,neighbour_1,IL-6,1,3,0.5,0.1,1.9000000000000004,3,2
348,neighbour_1,IL-6,1,3,0.5,0.3,0.5000000000000001,5,3
349,neighbour_1,IL-6,1,3,0.5,0.3,0.7000000000000001,5,3
350,neighbour_1,IL-6,1,3,0.5,0.3,0.9000000000000001,4,2
351,neighbour_1,IL-6,1,3,0.5,0.3,1.1000000000000003,4,2
